,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
11596,2015,7,Chiapas,7039,Huitiupán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11694,2015,7,Chiapas,7040,Huixtla,Abuso sexual,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
11792,2015,7,Chiapas,7041,La Independencia,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11890,2015,7,Chiapas,7042,Ixhuatán,Abuso sexual,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11988,2015,7,Chiapas,7043,Ixtacomitán,Abuso sexual,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12086,2015,7,Chiapas,7044,Ixtapa,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12184,2015,7,Chiapas,7045,Ixtapangajoya,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12282,2015,7,Chiapas,7046,Jiquipilas,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12380,2015,7,Chiapas,7047,Jitotol,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12478,2015,7,Chiapas,7048,Juárez,Abuso sexual,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12576,2015,7,Chiapas,7049,Larráinzar,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12674,2015,7,Chiapas,7050,La Libertad,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12772,2015,7,Chiapas,7051,Mapastepec,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12870,2015,7,Chiapas,7052,Las Margaritas,Abuso sexual,1,0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
12968,2015,7,Chiapas,7053,Mazapa de Madero,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13066,2015,7,Chiapas,7054,Mazatán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13164,2015,7,Chiapas,7055,Metapa,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13262,2015,7,Chiapas,7056,Mitontic,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13360,2015,7,Chiapas,7057,Motozintla,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13458,2015,7,Chiapas,7058,Nicolás Ruíz,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13556,2015,7,Chiapas,7059,Ocosingo,Abuso sexual,0,0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
13654,2015,7,Chiapas,7060,Ocotepec,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13752,2015,7,Chiapas,7061,Ocozocoautla de Espinosa,Abuso sexual,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13850,2015,7,Chiapas,7062,Ostuacán,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13948,2015,7,Chiapas,7063,Osumacinta,Abuso sexual,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14046,2015,7,Chiapas,7064,Oxchuc,Abuso sexual,2,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14144,2015,7,Chiapas,7065,Palenque,Abuso sexual,3,0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
